Index,ProblemSize,Threads,Operation,AvgSqTime,AvgParTime,AvgSpeedup
1,1004,22,0,8e-06,0.001915,0.0042985
2,1019,11,0,8.5e-06,0.0009454999999999999,0.008746
3,1027,40,0,8.5e-06,0.003489,0.0024135
4,1032,45,0,8e-06,0.00516,0.0016489999999999999
5,1037,60,0,8e-06,0.0065585,0.0012685
6,1042,3,0,8e-06,0.000282,0.028621
7,1056,40,0,8.5e-06,0.0034375,0.00247
8,1077,6,0,8.5e-06,0.0005505,0.015540499999999999
9,1086,8,0,8.5e-06,0.0007085,0.012081499999999998
10,1086,36,0,8e-06,0.003522,0.002436
11,1095,40,0,9e-06,0.0038825,0.002313
12,1099,59,0,9e-06,0.006226000000000001,0.001414
13,1114,52,0,8.5e-06,0.005537,0.0015574999999999999
14,1143,11,0,9e-06,0.0009805,0.0092765
15,1151,33,0,9.5e-06,0.002987,0.0032135
16,1239,35,0,1e-05,0.0029300000000000003,0.0033569999999999997
17,1244,11,0,1e-05,0.001002,0.009651
18,1245,14,0,1e-05,0.0012345,0.0079925
19,1257,22,0,1.1e-05,0.0018715,0.005704
20,1285,39,0,1.3000000000000001e-05,0.003281,0.003913
21,1297,63,0,1.0500000000000001e-05,0.0072075,0.0014659999999999999
22,1298,39,0,1e-05,0.0032905,0.0030935
23,1311,55,0,2e-05,0.0053335,0.0039695
24,1315,4,0,1e-05,0.0004205,0.0241175
25,1338,38,0,1e-05,0.0033545,0.003068
26,1338,42,0,1.0500000000000001e-05,0.0036325000000000003,0.0028685000000000004
27,1341,57,0,1.0500000000000001e-05,0.005879499999999999,0.0017815
28,1419,14,0,1.1e-05,0.00115,0.009356
29,1426,58,0,1.1e-05,0.00601,0.0018405000000000001
30,1496,53,0,1.2e-05,0.0057275,0.0020965000000000003
31,1510,58,0,1.15e-05,0.006043,0.001922
32,1513,6,0,1.2e-05,0.00053,0.022114
33,1518,51,0,1.2e-05,0.0052455,0.0022155
34,1521,18,0,1.2e-05,0.0015795,0.007348
35,1529,1,0,1.1e-05,1.95e-05,0.5573195
36,1535,62,0,1.4e-05,0.007717,0.001834
37,1545,5,0,1.2e-05,0.000451,0.026615
38,1551,33,0,1.2e-05,0.00283,0.0042745000000000005
39,1579,53,0,1.2e-05,0.004677000000000001,0.0026249999999999997
40,1660,57,0,1.3e-05,0.0059004999999999995,0.0021925
41,1705,56,0,1.35e-05,0.005474,0.0024525
42,1706,1,0,1.2e-05,2.5e-05,0.4847855
43,1722,41,0,1.3e-05,0.0035805000000000003,0.0036420000000000003
44,1782,22,0,1.4e-05,0.001827,0.007490999999999999
45,1783,22,0,1.35e-05,0.00183,0.0073935
46,1788,30,0,1.4e-05,0.002615,0.0052499999999999995
47,1796,19,0,1.45e-05,0.0017235,0.008305
48,1833,60,0,1.6e-05,0.006317,0.0025275000000000002
49,1881,30,0,1.4e-05,0.002974,0.0049724999999999995
50,1937,23,0,1.5e-05,0.001929,0.007632999999999999
51,1953,2,0,1.4e-05,0.00020899999999999998,0.0675975
52,1979,21,0,1.5e-05,0.0018135,0.0082765
53,2039,29,0,1.5e-05,0.002502,0.006062
54,2055,56,0,1.55e-05,0.005344,0.0029354999999999997
55,2057,43,0,1.55e-05,0.004210500000000001,0.003789
56,2065,28,0,1.65e-05,0.002916,0.005681
57,2128,1,0,3.2500000000000004e-05,3.15e-05,0.9835335000000001
58,2139,15,0,1.6e-05,0.0012965,0.012302500000000001
59,2178,39,0,1.7e-05,0.003392,0.00494
60,2204,45,0,1.75e-05,0.0042265,0.0041255
61,2217,23,0,1.7e-05,0.002005,0.008397
62,2234,56,0,1.75e-05,0.0058065,0.00296
63,2339,39,0,1.8500000000000002e-05,0.0034975,0.0052105
64,2366,17,0,1.75e-05,0.0014429999999999998,0.0122065
65,2389,23,0,1.8e-05,0.0020015,0.00898
66,2411,57,0,1.8e-05,0.005403,0.003393
67,2437,62,0,1.8500000000000002e-05,0.0072145,0.0025995000000000002
68,2449,53,0,1.8e-05,0.005719999999999999,0.0032034999999999998
69,2453,1,0,1.7e-05,2.55e-05,0.6724669999999999
70,2461,56,0,1.8e-05,0.0059355,0.0030905000000000004
71,2464,19,0,1.8500000000000002e-05,0.001673,0.0110565
72,2521,6,0,1.9e-05,0.000528,0.03578
73,2523,25,0,1.9e-05,0.0035259999999999996,0.006429000000000001
74,2528,49,0,1.9e-05,0.0046355,0.004188
75,2546,51,0,1.9e-05,0.005059,0.003783
76,2568,27,0,3.2000000000000005e-05,0.002391,0.013520999999999998
77,2577,20,0,1.95e-05,0.0016875,0.0116485
78,2651,20,0,2e-05,0.001717,0.0117315
79,2686,32,0,2.2e-05,0.0027735,0.0078985
80,2701,15,0,2e-05,0.001294,0.0155035
81,2708,12,0,2.05e-05,0.0011085000000000001,0.018485
82,2715,7,0,2e-05,0.0006184999999999999,0.03204
83,2765,64,0,2.4e-05,0.0068515,0.0035094999999999996
84,2789,63,0,2.05e-05,0.0065705,0.0031385
85,2793,64,0,2.1e-05,0.006692,0.0031635
86,2836,48,0,2.15e-05,0.0043065,0.0050405
87,2850,2,0,2.1e-05,0.0002085,0.0997325
88,2867,19,0,2.1e-05,0.0015990000000000002,0.013273
89,2878,6,0,2.1e-05,0.0005495000000000001,0.0383145
90,2887,10,0,2.15e-05,0.0008775,0.024567
91,2974,10,0,2.3e-05,0.0008294999999999999,0.027245
92,2983,45,0,2.2e-05,0.0039255,0.0056454999999999995
93,3029,5,0,2.2499999999999998e-05,0.000508,0.0442245
94,3058,25,0,2.3500000000000002e-05,0.0021615000000000002,0.0108645
