Index,ProblemSize,Threads,Operation,AvgSqTime,AvgParTime,AvgSpeedup
1,1004,22,1,1e-05,0.001964,0.0051565
2,1019,11,1,1.0500000000000001e-05,0.000968,0.010948
3,1027,40,1,1.0500000000000001e-05,0.0038625000000000005,0.0027394999999999997
4,1032,45,1,1e-05,0.003926,0.00264
5,1037,60,1,1.1e-05,0.006098,0.0018395
6,1042,3,1,1e-05,0.000271,0.0382015
7,1056,40,1,1.0500000000000001e-05,0.0035445,0.0030095
8,1077,6,1,1.0500000000000001e-05,0.0005645,0.0189415
9,1086,8,1,2.6e-05,0.0006965,0.0368145
10,1086,36,1,1.1e-05,0.003098,0.0034125
11,1095,40,1,1.1e-05,0.003523,0.003062
12,1099,59,1,1.4e-05,0.006173,0.00226
13,1114,52,1,1.1e-05,0.005315,0.002064
14,1143,11,1,1.1e-05,0.00095,0.011633000000000001
15,1151,33,1,1.0500000000000001e-05,0.0034195,0.0032585
16,1239,35,1,1.2499999999999999e-05,0.0042120000000000005,0.003251
17,1244,11,1,1.2e-05,0.000957,0.0123345
18,1245,14,1,1.2e-05,0.0011710000000000002,0.0105455
19,1257,22,1,1.2e-05,0.0018725,0.006422
20,1285,39,1,1.2499999999999999e-05,0.0034095,0.0037210000000000003
21,1297,63,1,1.2e-05,0.0066585,0.0018375
22,1298,39,1,1.3e-05,0.0034245,0.003828
23,1311,55,1,1.3e-05,0.0057205,0.0022615
24,1315,4,1,1.2e-05,0.00037600000000000003,0.0327975
25,1338,38,1,1.35e-05,0.0033,0.0040375
26,1338,42,1,1.3e-05,0.004032,0.003248
27,1341,57,1,1.2499999999999999e-05,0.0060125000000000005,0.0020955
28,1419,14,1,1.4e-05,0.001218,0.011397000000000001
29,1426,58,1,1.4e-05,0.006081,0.002262
30,1496,53,1,2.55e-05,0.0053620000000000004,0.004754
31,1510,58,1,1.45e-05,0.006129,0.002366
32,1513,6,1,1.4e-05,0.0024805,0.0149705
33,1518,51,1,1.4e-05,0.005242500000000001,0.0026915000000000003
34,1521,18,1,2.7000000000000002e-05,0.0015145,0.017951
35,1529,1,1,1.3e-05,2e-05,0.635183
36,1535,62,1,1.55e-05,0.006397999999999999,0.0023525
37,1545,5,1,1.45e-05,0.000445,0.032604
38,1551,33,1,1.5e-05,0.0032665000000000003,0.0046300000000000004
39,1579,53,1,1.45e-05,0.005672,0.0025440000000000003
40,1660,57,1,1.75e-05,0.0049595,0.0034655
41,1705,56,1,1.6e-05,0.005741,0.002726
42,1706,1,1,1.4e-05,2.6e-05,0.545242
43,1722,41,1,1.65e-05,0.0033845,0.0048345
44,1782,22,1,1.7e-05,0.0019169999999999999,0.0088305
45,1783,22,1,1.7e-05,0.0018555,0.00897
46,1788,30,1,1.65e-05,0.003058,0.0055060000000000005
47,1796,19,1,1.7e-05,0.0016359999999999999,0.0104075
48,1833,60,1,1.75e-05,0.006083,0.0028069999999999996
49,1881,30,1,1.75e-05,0.0026835,0.006448000000000001
50,1937,23,1,1.75e-05,0.0019305,0.009101
51,1953,2,1,1.7e-05,0.000198,0.0864085
52,1979,21,1,1.9e-05,0.0017675,0.010687499999999999
53,2039,29,1,1.9e-05,0.0025830000000000002,0.0072975
54,2055,56,1,2.1000000000000002e-05,0.0053065000000000005,0.0039795
55,2057,43,1,1.95e-05,0.0037425,0.0051145
56,2065,28,1,1.95e-05,0.002399,0.0080075
57,2128,1,1,1.8e-05,2.95e-05,0.5974065
58,2139,15,1,2e-05,0.001313,0.0152085
59,2178,39,1,1.95e-05,0.003827,0.005184
60,2204,45,1,2e-05,0.004757,0.0042085000000000004
61,2217,23,1,3.45e-05,0.0020325,0.0168655
62,2234,56,1,2.05e-05,0.005235500000000001,0.003955
63,2339,39,1,2.2499999999999998e-05,0.003706,0.006191500000000001
64,2366,17,1,2.15e-05,0.0014835,0.014534
65,2389,23,1,2.2e-05,0.0018915,0.011654999999999999
66,2411,57,1,2.3e-05,0.005965,0.0038275
67,2437,62,1,2.2e-05,0.0062465,0.003549
68,2449,53,1,2.2e-05,0.0053349999999999995,0.0041565000000000005
69,2453,1,1,2e-05,2.7499999999999998e-05,0.739698
70,2461,56,1,2.55e-05,0.00613,0.0041525
71,2464,19,1,2.2e-05,0.0016245,0.0137225
72,2521,6,1,2.3e-05,0.0005385,0.0427425
73,2523,25,1,2.3e-05,0.0021575,0.0108795
74,2528,49,1,2.3500000000000002e-05,0.0048395,0.0048375
75,2546,51,1,2.4e-05,0.004528,0.005252
76,2568,27,1,2.7e-05,0.0025044999999999998,0.0107045
77,2577,20,1,2.3500000000000002e-05,0.0017855,0.0133235
78,2651,20,1,2.4e-05,0.0018105,0.0133825
79,2686,32,1,2.5e-05,0.0028555000000000004,0.0086395
80,2701,15,1,2.45e-05,0.0013195,0.018515999999999998
81,2708,12,1,2.5e-05,0.001059,0.023323499999999997
82,2715,7,1,2.45e-05,0.0006169999999999999,0.039484500000000006
83,2765,64,1,2.5e-05,0.0065835,0.0037689999999999998
84,2789,63,1,2.5e-05,0.006477,0.0038694999999999997
85,2793,64,1,2.55e-05,0.005948,0.0043335000000000005
86,2836,48,1,2.55e-05,0.0045255,0.005752
87,2850,2,1,2.5e-05,0.0001875,0.134473
88,2867,19,1,2.6e-05,0.0016870000000000001,0.0154165
89,2878,6,1,2.55e-05,0.0005285,0.0480555
90,2887,10,1,2.6e-05,0.000891,0.0292215
91,2974,10,1,2.7e-05,0.00091,0.029438
92,2983,45,1,2.65e-05,0.0039485,0.0067285
93,3029,5,1,2.8e-05,0.0004785,0.058245000000000005
94,3058,25,1,2.95e-05,0.002142,0.013746
95,3059,13,1,2.8e-05,0.0011475,0.0246235
96,3060,62,1,3.0500000000000003e-05,0.0064665,0.0047735
97,3114,29,1,2.85e-05,0.0029484999999999997,0.009884500000000001
98,3120,3,1,2.7e-05,0.000281,0.09657550000000001
99,3131,13,1,2.9e-05,0.0011090000000000002,0.0265035
100,3143,63,1,3.1e-05,0.006345,0.004886
101,3174,3,1,2.7499999999999998e-05,0.00030599999999999996,0.09137400000000001
102,3244,58,1,4.25e-05,0.0058875,0.0072169999999999995
103,3249,64,1,2.95e-05,0.00669,0.0043695
104,3256,26,1,2.9e-05,0.0022435,0.012992
105,3327,21,1,3.0500000000000003e-05,0.0017829999999999999,0.017202000000000002
106,3344,1,1,2.7499999999999998e-05,3.5e-05,0.7919725
107,3417,6,1,3e-05,0.0005335,0.056965
108,3462,63,1,3.3e-05,0.006505,0.0050550000000000005
109,3466,45,1,3.15e-05,0.0044375000000000005,0.0070985
110,3497,59,1,3.0500000000000003e-05,0.0060409999999999995,0.0050125
111,3645,40,1,3.2500000000000004e-05,0.0039285,0.0084585
112,3666,58,1,3.2e-05,0.0061235000000000005,0.005299
113,3676,22,1,3.3e-05,0.0018955,0.017492
114,3699,36,1,3.35e-05,0.0031685000000000003,0.0105875
115,3738,51,1,3.35e-05,0.0048815,0.0069595
116,3756,1,1,3.1e-05,5.75e-05,0.572477
117,3760,51,1,3.35e-05,0.0048544999999999994,0.0070810000000000005
118,3762,14,1,3.45e-05,0.0012950000000000001,0.026675499999999998
119,3820,9,1,3.45e-05,0.00083,0.041328000000000004
120,3849,26,1,3.5e-05,0.002311,0.015109500000000001
121,3862,21,1,3.5999999999999994e-05,0.0018165,0.019894000000000002
122,3906,30,1,3.5499999999999996e-05,0.002555,0.013784500000000002
123,3922,2,1,3.35e-05,0.0001905,0.178039
124,3968,25,1,3.6e-05,0.00215,0.016724999999999997
125,4083,28,1,3.85e-05,0.0027435000000000003,0.0142505
126,4228,53,1,3.8e-05,0.0046075000000000005,0.0082985
127,4272,17,1,3.9e-05,0.0014685000000000002,0.026312000000000002
128,4285,62,1,4.05e-05,0.00643,0.006287
129,4315,54,1,3.85e-05,0.005652,0.0068024999999999995
130,4384,46,1,3.95e-05,0.004451,0.009082
131,4425,57,1,4.35e-05,0.005801,0.0075025
132,4437,40,1,3.95e-05,0.003819,0.0105065
133,4488,28,1,4.9e-05,0.0025095,0.0194375
